DOUBLE;INTEGER;DOUBLE;DOUBLE;DOUBLE;DOUBLE;INTEGER;CATEGORICAL;CATEGORICAL
mpg;cylinders;displacement;horsepower;weight;acceleration;model year;group
46.6;4;86;65;2110;17.9;80;7
44.6;4;91;67;1850;13.8;80;18
44.3;4;90;48;2085;21.7;80;7
44;4;97;52;2130;24.6;82;7
43.4;4;90;48;2335;23.7;80;4
43.1;4;90;48;1985;21.5;78;16
41.5;4;98;76;2144;14.7;80;7
40.8;4;85;65;2110;19.2;80;7
39.4;4;85;70;2070;18.6;78;7
39.1;4;79;58;1755;16.9;81;18
39;4;86;64;1875;16.4;81;18
38.1;4;89;60;1968;18.8;80;16
38;6;262;85;3015;17;82;11
38;4;91;67;1995;16.2;82;16
38;4;91;67;1965;15;82;16
38;4;105;63;2125;14.7;82;7
37.7;4;89;62;2050;17.3;81;16
37.3;4;91;69;2130;14.7;79;7
37.2;4;86;65;2019;16.4;80;16
37;4;91;68;2025;18.2;82;16
37;4;85;65;1975;19.4;81;16
37;4;119;92;2434;15;80;4
36.4;5;121;67;2950;19.9;80;13
36.1;4;98;66;1800;14.4;78;18
36.1;4;91;60;1800;16.4;78;18
36;4;98;70;2125;17.3;82;7
36;4;79;58;1825;18.6;77;18
36;4;135;84;2370;13;82;4
36;4;120;88;2160;14.5;82;7
36;4;107;75;2205;14.5;82;1
36;4;105;74;1980;15.3;82;16
35.7;4;98;80;1915;14.4;79;16
35.1;4;81;60;1760;16.1;81;18
35;4;72;69;1613;18;71;18
35;4;122;88;2500;15.1;80;9
34.7;4;105;63;2215;14.9;81;1
34.5;4;105;70;2150;14.9;79;7
34.4;4;98;65;2045;16.2;81;16
34.3;4;97;78;2188;15.8;80;7
34.2;4;105;70;2200;13.2;79;1
34.1;4;91;68;1985;16;81;16
34.1;4;86;65;1975;15.2;79;16
34;4;112;88;2395;18;82;4
34;4;108;70;2245;16.9;82;1
33.8;4;97;67;2145;18;80;7
33.7;4;107;75;2210;14.4;81;1
33.5;4;98;83;2075;15.9;77;7
33.5;4;85;70;1945;16.8;77;16
33.5;4;151;90;2556;13.2;79;9
33;4;91;53;1795;17.5;75;18
33;4;91;53;1795;17.4;76;18
33;4;105;74;2190;14.2;81;7
32.9;4;119;100;2615;14.8;81;9
32.8;4;78;52;1985;19.4;78;16
32.7;6;168;132;2910;11.4;80;13
