INTEGER;DOUBLE;DOUBLE;DOUBLE;DOUBLE;CATEGORICAL
ID;Sep_len;Sep_wid;Pet_len;Pet_wid;gruop
0;5.1;3.5;1.4;0.2;11
1;4.4;3;1.3;0.2;11
2;6.5;2.8;4.6;1.5;11
3;6.4;2.9;4.3;1.3;11
4;6.8;2.8;4.8;1.4;11
5;5.5;2.4;3.8;1.1;11
6;6.4;3.2;5.3;2.3;11
7;6.3;2.7;4.9;1.8;11
8;7.7;3;6.1;2.3;11
9;4.6;3.1;1.5;0.2;11
10;5.4;3.9;1.3;0.4;11
11;4.8;3.1;1.6;0.2;11
12;5;3.5;1.6;0.6;11
13;5.2;2.7;3.9;1.4;1
14;5;2;3.5;1;1
15;6.7;3.1;4.7;1.5;1
16;5.6;3;4.1;1.3;1
17;5.7;2.5;5;2;1
18;6.1;3;4.9;1.8;1
19;6.3;2.5;5;1.9;1
20;6.5;3;5.2;2;1
21;4.6;3.4;1.4;0.3;1
22;4.8;3.4;1.6;0.2;1
23;5.1;3.5;1.4;0.3;1
24;6;2.2;4;1;1
25;5.7;3;4.2;1.2;9
26;5;3.6;1.4;0.2;9
27;4.4;2.9;1.4;0.2;9
28;5.7;3.8;1.7;0.3;9
29;4.9;2.4;3.3;1;9
30;5.6;3;4.5;1.5;9
31;5.5;2.5;4;1.3;9
32;6.2;2.9;4.3;1.3;9
33;6.7;2.5;5.8;1.8;9
34;6.5;3.2;5.1;2;9
35;5.6;2.8;4.9;2;9
36;5.9;3;5.1;1.8;9
37;6.4;3.2;4.5;1.5;9
38;6.3;2.5;4.9;1.5;8
39;6.1;2.8;4.7;1.2;8
40;6.1;3;4.6;1.4;8
41;6.4;2.8;5.6;2.2;8
42;6;3;4.8;1.8;8
43;6.8;3.2;5.9;2.3;8
44;4.9;3.1;1.5;0.1;8
45;5.2;3.4;1.4;0.2;8
46;5.7;2.8;4.5;1.3;8
47;6.3;3.3;4.7;1.6;8
48;6.6;2.9;4.6;1.3;8
49;6.1;2.9;4.7;1.4;8
50;5.8;2.7;4.1;1;8
51;6.6;3;4.4;1.4;4
52;6.3;2.3;4.4;1.3;4
53;5.8;2.7;5.1;1.9;4
54;7.1;3;5.9;2.1;4
55;7.9;3.8;6.4;2;4
56;6.9;3.1;5.1;2.3;4
57;6.7;3.3;5.7;2.5;4
58;5.1;3.8;1.5;0.3;4
59;4.8;3.4;1.9;0.2;4
60;5;3.4;1.6;0.4;4
61;5;3.2;1.2;0.2;4
62;5.5;3.5;1.3;0.2;4
63;4.5;2.3;1.3;0.3;4
64;5.5;2.3;4;1.3;6
65;6;3.4;4.5;1.6;6
66;6.5;3;5.8;2.2;6
67;6.8;3;5.5;2.1;6
68;5.8;2.8;5.1;2.4;6
69;6.9;3.2;5.7;2.3;6
70;6.7;3.3;5.7;2.1;6
71;6.4;2.8;5.6;2.1;6
72;7.4;2.8;6.1;1.9;6
73;6.9;3.1;5.4;2.1;6
74;4.9;3;1.4;0.2;6
75;4.3;3;1.1;0.1;5
76;5.2;3.5;1.5;0.2;5
77;5.2;4.1;1.5;0.1;5
78;6.7;3.1;4.4;1.4;5
79;7.6;3;6.6;2.1;5
80;6.4;2.7;5.3;1.9;5
81;7.2;3;5.8;1.6;5
82;6.3;3.4;5.6;2.4;5
83;5.7;4.4;1.5;0.4;5
84;4.6;3.6;1;0.2;5
85;5.1;3.3;1.7;0.5;5
86;4.4;3.2;1.3;0.2;5
87;5;3.3;1.4;0.2;5
88;7;3.2;4.7;1.4;2
89;5.6;2.9;3.6;1.3;2
90;7.7;2.8;6.7;2;2
91;5.8;2.7;5.1;1.9;2
92;5.4;3.9;1.7;0.4;2
93;5.1;3.7;1.5;0.4;2
94;5.5;4.2;1.4;0.2;2
95;5.6;2.5;3.9;1.1;2
96;5.9;3.2;4.8;1.8;2
97;5.7;2.6;3.5;1;2
98;4.9;2.5;4.5;1.7;2
99;6.1;2.6;5.6;1.4;2
100;6.7;3.1;5.6;2.4;2
101;4.7;3.2;1.3;0.2;7
102;5.4;3.4;1.7;0.2;7
103;5.1;3.4;1.5;0.2;7
104;5.1;3.8;1.6;0.2;7
105;6.2;2.2;4.5;1.5;7
106;5.8;2.7;3.9;1.2;7
107;6;2.7;5.1;1.6;7
108;5.1;2.5;3;1.1;7
109;6;2.2;5;1.5;7
110;5;3.4;1.5;0.2;7
111;4.8;3;1.4;0.1;7
112;4.7;3.2;1.6;0.2;7
113;4.9;3.1;1.5;0.2;7
114;5;3.5;1.3;0.3;10
115;5.1;3.8;1.9;0.4;10
116;5.3;3.7;1.5;0.2;10
117;6.1;2.8;4;1.3;10
118;5;2.3;3.3;1;10
119;5.7;2.9;4.2;1.3;10
120;6.3;2.9;5.6;1.8;10
121;7.2;3.6;6.1;2.5;10
122;7.7;2.6;6.9;2.3;10
123;7.2;3.2;6;1.8;10
124;5.4;3.7;1.5;0.2;10
125;5.8;4;1.2;0.2;10
126;5.9;3;4.2;1.5;12
127;5.4;3;4.5;1.5;12
128;5.6;2.7;4.2;1.3;12
129;6.2;2.8;4.8;1.8;12
130;6.7;3;5.2;2.3;12
131;6.2;3.4;5.4;2.3;12
132;5.4;3.4;1.5;0.4;12
133;4.9;3.6;1.4;0.1;12
134;6.9;3.1;4.9;1.5;12
135;6;2.9;4.5;1.5;12
136;6.3;3.3;6;2.5;12
137;7.3;2.9;6.3;1.8;12
138;6.5;3;5.5;1.8;3
139;6.3;2.8;5.1;1.5;3
140;5;3;1.6;0.2;3
141;4.8;3;1.4;0.3;3
142;4.6;3.2;1.4;0.2;3
143;6.7;3;5;1.7;3
144;5.5;2.4;3.7;1;3
145;5.5;2.6;4.4;1.2;3
146;5.8;2.6;4;1.2;3
147;5.7;2.8;4.1;1.3;3
148;7.7;3.8;6.7;2.2;3
149;6.4;3.1;5.5;1.8;3
