DY
5564
10
INTEGER;CATEGORICAL;STRING;INTEGER;INTEGER;INTEGER;INTEGER;INTEGER;INTEGER;INTEGER
#;UF;Município;Pop. 2000;Homens;Mulheres;Pop. Urbana;Pop. Rural;Pop. 2010;Bolsa Família
1;ACRE;ACRELÂNDIA;7935;6597;5941;5916;6622;12538;1186828
2;ACRE;ASSIS BRASIL;3490;3091;2984;3703;2372;6075;852098
3;ACRE;BRASILÉIA;17013;11060;10378;14299;7139;21438;2277047
4;ACRE;BUJARI;5826;4560;3914;3681;4793;8474;927973
5;ACRE;CAPIXABA;5206;4658;4152;3928;4882;8810;940821
6;ACRE;CRUZEIRO DO SUL;67441;39185;39259;55259;23185;78444;9853348
7;ACRE;EPITACIOLÂNDIA;11028;7636;7490;10622;4504;15126;1440238
8;ACRE;FEIJÓ;26722;16660;15651;16635;15676;32311;4853087
9;ACRE;JORDÃO;4454;3396;3135;2265;4266;6531;1100059
10;ACRE;MÂNCIO LIMA;11095;7856;7390;8782;6464;15246;2161878
11;ACRE;MANOEL URBANO;6374;4256;3733;5285;2704;7989;1148566
12;ACRE;MARECHAL THAUMATURGO;8295;7437;6763;3971;10229;14200;1629460
13;ACRE;PLÁCIDO DE CASTRO;15172;8997;8206;10390;6813;17203;1858800
14;ACRE;PORTO ACRE;11418;7806;7000;1955;12851;14806;1642466
15;ACRE;PORTO WALTER;5485;4791;4381;3317;5855;9172;726143
16;ACRE;RIO BRANCO;253059;163396;172400;308418;27378;335796;24168095
17;ACRE;RODRIGUES ALVES;8093;7450;6884;4325;10009;14334;1777534
18;ACRE;SANTA ROSA DO PURUS;2246;2373;2239;1894;2718;4612;518668
19;ACRE;SENA MADUREIRA;29420;19704;18289;25132;12861;37993;5414790
20;ACRE;SENADOR GUIOMARD;19761;10328;9825;12670;7483;20153;2514990
21;ACRE;TARAUACÁ;26037;18317;17209;19363;16163;35526;4092561
22;ACRE;XAPURI;11956;8310;7706;10270;5746;16016;1573803
23;ALAGOAS;ÁGUA BRANCA;18660;9650;9726;5100;14276;19376;3802587
24;ALAGOAS;ANADIA;17849;8563;8860;8950;8473;17423;2838449
25;ALAGOAS;ARAPIRACA;186466;101901;112166;181562;32505;214067;27307301
26;ALAGOAS;ATALAIA;40552;22230;22149;22451;21928;44379;8513385
27;ALAGOAS;BARRA DE SANTO ANTÔNIO;11351;7076;7152;13240;988;14228;2537009
28;ALAGOAS;BARRA DE SÃO MIGUEL;6379;3765;3808;6521;1052;7573;975430
29;ALAGOAS;BATALHA;14799;8386;8690;12042;5034;17076;3227180
30;ALAGOAS;BELÉM;5919;2222;2329;1872;2679;4551;943095
31;ALAGOAS;BELO MONTE;6822;3551;3481;1171;5861;7032;1519662
32;ALAGOAS;BOCA DA MATA;24227;12772;13008;17455;8325;25780;4369599
33;ALAGOAS;BRANQUINHA;11325;5379;5207;6673;3913;10586;1802112
34;ALAGOAS;CACIMBINHAS;9552;5049;5148;5404;4793;10197;2159342
35;ALAGOAS;CAJUEIRO;18975;10078;10332;16485;3925;20410;3941496
36;ALAGOAS;CAMPESTRE;6223;3291;3308;5541;1058;6599;1223637
37;ALAGOAS;CAMPO ALEGRE;41028;25031;25800;22170;28661;50831;5682701
38;ALAGOAS;CAMPO GRANDE;9134;4436;4596;4185;4847;9032;1876771
39;ALAGOAS;CANAPI;17334;8661;8587;5538;11710;17248;4000531
40;ALAGOAS;CAPELA;18693;8430;8647;12650;4427;17077;2692512
41;ALAGOAS;CARNEIROS;6585;4058;4232;4702;3588;8290;1678946
42;ALAGOAS;CHÃ PRETA;7760;3644;3502;4488;2658;7146;1472801
43;ALAGOAS;COITÉ DO NÓIA;11993;5421;5505;3737;7189;10926;2199523
44;ALAGOAS;COLÔNIA LEOPOLDINA;17493;10073;9949;15319;4703;20022;3347594
45;ALAGOAS;COQUEIRO SECO;5134;2758;2765;4970;553;5523;887390
46;ALAGOAS;CORURIPE;48846;25761;26399;46073;6087;52160;7413299
47;ALAGOAS;CRAÍBAS;20789;11155;11488;7331;15312;22643;5019028
48;ALAGOAS;DELMIRO GOUVEIA;42995;23053;25037;34849;13241;48090;7275344
49;ALAGOAS;DOIS RIACHOS;11066;5454;5425;5084;5795;10879;2304870
50;ALAGOAS;ESTRELA DE ALAGOAS;16341;8398;8856;4031;13223;17254;3312369
51;ALAGOAS;FEIRA GRANDE;21270;10562;10763;3425;17900;21325;4188337
52;ALAGOAS;FELIZ DESERTO;3836;2125;2207;3468;864;4332;883766
53;ALAGOAS;FLEXEIRAS;11979;6247;6092;8023;4316;12339;2445553
54;ALAGOAS;GIRAU DO PONCIANO;29574;18176;18449;11298;25327;36625;7075288
55;ALAGOAS;IBATEGUARA;15105;7555;7578;9336;5797;15133;3182298
56;ALAGOAS;IGACI;25584;12275;12922;6193;19004;25197;5053356
57;ALAGOAS;IGREJA NOVA;21451;11750;11548;4776;18522;23298;3973207
58;ALAGOAS;INHAPI;17768;8813;9089;6699;11203;17902;3668115
59;ALAGOAS;JACARÉ DOS HOMENS;5720;2671;2742;3032;2381;5413;1142602
60;ALAGOAS;JACUÍPE;7313;3580;3406;4344;2642;6986;1499498
61;ALAGOAS;JAPARATINGA;6868;3871;3881;3305;4447;7752;1574123
62;ALAGOAS;JARAMATAIA;5788;2807;2755;2917;2645;5562;1244107
63;ALAGOAS;JEQUIÁ DA PRAIA;0;6131;5904;2879;9156;12035;2282532
64;ALAGOAS;JOAQUIM GOMES;21488;11535;11046;14483;8098;22581;5065561
65;ALAGOAS;JUNDIÁ;4680;2126;2076;2827;1375;4202;881299
66;ALAGOAS;JUNQUEIRO;23832;11754;12100;7819;16035;23854;4716181
67;ALAGOAS;LAGOA DA CANOA;19988;8973;9280;9165;9088;18253;3326360
68;ALAGOAS;LIMOEIRO DE ANADIA;24263;13424;13568;2246;24746;26992;4539719
