INTEGER;CATEGORICAL;STRING;DOUBLE
#;Estado;Nome Município;Valor
1;ACRE;BRASILEIA;2277047
2;ACRE;CRUZEIRO DO SUL;9853348
3;ACRE;MANCIO LIMA;2161878
4;ACRE;FEIJO;4853087
5;ACRE;RIO BRANCO;24168095
6;ACRE;SENA MADUREIRA;5414790
7;ACRE;TARAUACA;4092561
8;ACRE;XAPURI;1573803
9;ACRE;PLACIDO DE CASTRO;1858800
10;ACRE;SENADOR GUIOMARD;2514990
11;ACRE;MANOEL URBANO;1148566
12;ACRE;ASSIS BRASIL;852098
13;ACRE;ACRELANDIA;1186828
14;ACRE;BUJARI;927973
15;ACRE;CAPIXABA;940821
16;ACRE;PORTO ACRE;1642466
17;ACRE;EPITACIOLANDIA;1440238
18;ACRE;JORDAO;1100059
19;ACRE;MARECHAL THAUMATURGO;1629460
20;ACRE;PORTO WALTER;726143
21;ACRE;RODRIGUES ALVES;1777534
22;ACRE;SANTA ROSA;518668
23;ALAGOAS;CAMPESTRE;1223637
24;ALAGOAS;JEQUIA DA PRAIA;2282532
25;ALAGOAS;TEOTONIO VILELA;6886764
26;ALAGOAS;PARIPUEIRA;1787738
27;ALAGOAS;ESTRELA DE ALAGOAS;3312369
28;ALAGOAS;PARICONHA;2000942
29;ALAGOAS;AGUA BRANCA;3802587
30;ALAGOAS;ANADIA;2838449
31;ALAGOAS;ARAPIRACA;27307301
32;ALAGOAS;ATALAIA;8513385
33;ALAGOAS;BARRA DE SANTO ANTONIO;2537009
34;ALAGOAS;BARRA DE SAO MIGUEL;975430
35;ALAGOAS;BATALHA;3227180
36;ALAGOAS;BELEM;943095
37;ALAGOAS;BELO MONTE;1519662
38;ALAGOAS;BOCA DA MATA;4369599
39;ALAGOAS;BRANQUINHA;1802112
40;ALAGOAS;CACIMBINHAS;2159342
41;ALAGOAS;CAJUEIRO;3941496
42;ALAGOAS;CAMPO ALEGRE;5682701
43;ALAGOAS;CAMPO GRANDE;1876771
44;ALAGOAS;CANAPI;4000531
45;ALAGOAS;CAPELA;2692512
46;ALAGOAS;CARNEIROS;1678946
47;ALAGOAS;CHA PRETA;1472801
48;ALAGOAS;COITE DO NOIA;2199523
49;ALAGOAS;COLONIA LEOPOLDINA;3347594
50;ALAGOAS;COQUEIRO SECO;887390
51;ALAGOAS;CORURIPE;7413299
52;ALAGOAS;DELMIRO GOUVEIA;7275344
53;ALAGOAS;DOIS RIACHOS;2304870
54;ALAGOAS;FEIRA GRANDE;4188337
55;ALAGOAS;FELIZ DESERTO;883766
56;ALAGOAS;FLEXEIRAS;2445553
57;ALAGOAS;GIRAU DO PONCIANO;7075288
58;ALAGOAS;IBATEGUARA;3182298
